,10_40039_S11_R1_001.expression,10_90002_mor_det_45776883_R1.expression,1_10115_88_S4_R1_001.expression,11_10102_mor_det_45794778_R1.expression,11_40044_S12_R1_001.expression,12_20042_eve_det_45788807_R1.expression,12_40035_S13_R1_001.expression,13_10119_94_S14_R1_001.expression,13_90006_eve_det_45796767_R1.expression,14_10104_eve_det_45791770_R1.expression,14_40003_S15_R1_001.expression,15_40047_S16_R1_001.expression,15_Control_blood_9_45784879_R1.expression,16_10103_I1_R1.expression,16_Control_blood_11_45796768_R1.expression,1_70008_mor_imp_45790779_R2.expression,17_10108_I2_R1.expression,17_Control_blood_12_45792774_R1.expression,18_10136_I3_R1.expression,18_Control_blood_13_45786842_R1.expression,19_10141_I4_R1.expression,19_Control_blood_14_45759905_R1.expression,20_10155_I5_R1.expression,20_Control_blood_15_45793787_R1.expression,2_10131_83_S5_R1_001.expression,21_10181_I6_R1.expression,21_Control_blood_16_45775870_R1.expression,22_10100_D1_R1.expression,22_Control_blood_17_45792776_R1.expression,23_10116_D2_R1.expression,23_Control_blood_18_45794783_R1.expression,2_40058_mor_imp_45775868_R1.expression,24_10145_D3_R1.expression,24_Control_blood_19_45793789_R1.expression,25_10146_D4_R1.expression,26_10156_D5_R1.expression,27_30057_D6_R1.expression,3_10166_mor_imp_45795773_R1.expression,3_10189_45_S6_R1_001.expression,4_10177_eve_imp_45795771_R1.expression,4_90003_S7_R1_001.expression,5_10171_eve_imp_45788808_R1.expression,5_40026_S8_R1_001.expression,6_30065_S9_R1_001.expression,6_40049_eve_imp_45790782_R1.expression,7_30040_mor_det_45785850_R1.expression,8_60004_mor_det_45796771_R1.expression,9_30053_mor_det_45787820_R1.expression,9_30074_50_S10_R1_001.expression
hsa-miR-409-5p,1,2,1,10,0,0,0,5,0,7,4,4,11,1,4,0,1,3,6,18,7,2,0,10,4,3,17,2,20,0,7,2,0,10,1,0,2,2,2,0,0,0,2,3,2,0,0,7,3
hsa-miR-409-3p,319,216,335,304,42,80,245,631,161,374,105,238,1212,70,543,0,82,881,47,2413,83,576,132,1985,439,43,3027,63,2633,79,664,119,32,769,44,15,107,130,164,136,93,83,255,364,475,84,11,751,179
hsa-miR-199a-5p,16,20,11,89,3,37,28,19,17,55,25,14,276,31,69,0,45,203,19,173,21,159,22,252,34,14,266,28,162,47,143,39,35,137,36,41,38,30,28,28,15,34,25,21,46,26,28,47,16
hsa-miR-337-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-337-3p,1,0,1,1,0,0,1,1,0,0,0,0,4,1,1,0,0,3,0,3,1,2,2,5,0,0,14,0,6,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
hsa-miR-383-5p,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-383-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3191-3p,3,0,4,6,0,1,7,4,6,1,4,5,5,2,3,0,0,8,0,1,1,5,2,9,6,1,3,0,4,1,1,5,0,2,0,1,0,2,10,3,3,7,12,5,0,3,2,4,7
hsa-miR-3191-5p,1,1,3,2,0,1,3,2,4,3,0,1,3,1,2,2,0,2,0,1,0,1,2,4,2,0,4,0,4,0,3,2,0,0,1,0,0,6,1,3,5,3,4,1,1,3,4,1,1
hsa-miR-6724-5p,2,2,1,3,1,1,3,0,3,2,0,0,0,3,2,0,1,2,1,0,0,0,0,2,3,0,4,0,2,1,0,1,1,1,2,1,0,2,1,4,0,2,0,3,4,1,4,2,1
hsa-miR-548o-5p,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,2,0,1,0,0,0,1,1,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,2,0,1,0,1,2,0,0,1,0
hsa-miR-6743-5p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6743-3p,28,18,22,37,14,21,45,25,32,22,25,14,31,7,4,0,12,23,5,20,4,18,9,26,20,4,23,3,32,2,66,32,6,22,6,10,2,29,21,45,16,61,35,57,27,44,36,19,27
hsa-miR-215-5p,9,6,4,17,1,2,3,8,11,10,6,7,86,4,119,0,1,76,8,80,1,75,5,70,15,1,106,3,114,3,98,15,8,55,11,5,2,3,6,12,10,12,5,4,10,10,4,9,16
hsa-miR-215-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-663b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-877-5p,427,216,293,273,130,351,739,395,298,211,209,183,362,181,167,0,229,260,97,226,60,334,83,456,270,106,468,59,637,105,294,277,107,196,80,149,94,514,392,446,256,739,242,601,403,433,436,717,415
hsa-miR-877-3p,10,10,11,19,7,19,23,20,21,15,9,8,24,10,12,0,9,22,5,15,3,26,7,35,19,8,22,4,25,6,20,19,10,17,7,6,4,19,17,46,10,70,15,25,10,21,32,16,11
hsa-let-7b-5p,293284,174539,278886,281684,83286,222527,321994,269256,164992,196919,219274,193400,245811,109431,222654,0,168526,226924,108880,279146,84565,299275,155689,183285,262544,157133,260286,89900,337672,141823,246202,201188,88095,200081,106967,100148,110731,323055,301683,287687,221481,295252,269105,384440,145645,288521,293570,210838,251177
hsa-let-7b-3p,0,2,2,1,0,1,1,2,1,2,3,1,2,0,2,615,2,3,1,0,1,0,3,31,0,1,3,1,0,0,2,1,0,1,0,2,3,5,0,4,0,1,0,3,4,2,1,9,1
hsa-miR-496,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-508-5p,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-508-3p,0,0,0,0,0,1,0,0,0,0,0,2,2,0,6,0,0,6,0,2,0,3,0,4,0,0,3,0,5,1,1,1,0,1,0,0,0,3,2,0,1,1,2,1,1,0,0,0,0
hsa-miR-144-5p,37,35,20,138,7,58,29,36,74,72,25,22,229,126,381,0,102,535,96,351,48,400,144,181,81,88,551,63,305,143,266,61,142,305,232,261,129,90,36,137,62,174,25,31,39,116,35,74,55
hsa-miR-144-3p,15,13,6,38,0,11,10,7,23,8,4,4,412,47,359,0,40,561,34,479,13,528,89,206,14,68,619,37,445,68,294,21,47,297,66,167,32,45,4,68,11,79,3,10,9,40,8,23,9
hsa-miR-622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-374a-5p,16,2,11,20,2,9,8,12,13,18,5,9,119,11,187,0,16,188,20,208,6,172,8,156,20,2,274,1,125,18,115,15,22,175,10,12,9,8,10,26,25,27,2,9,12,12,11,29,2
hsa-miR-374a-3p,0,0,1,0,0,0,0,2,0,0,0,0,9,2,14,0,0,32,0,14,0,24,1,0,2,4,20,0,17,0,9,2,0,12,1,0,0,2,0,0,1,2,0,1,0,0,0,1,2
hsa-miR-4447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6836-5p,5,7,4,13,2,5,6,5,10,9,2,3,13,2,5,0,4,2,6,3,2,5,5,4,4,3,2,1,5,3,8,8,1,10,5,6,1,6,3,18,12,22,6,12,8,5,13,6,5
hsa-miR-6836-3p,4,0,0,1,0,0,4,1,0,2,0,0,3,2,0,0,1,0,1,1,0,0,0,0,1,1,1,2,2,0,4,3,0,3,1,0,0,3,0,4,3,0,0,0,1,2,1,0,1
hsa-miR-518b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1287-5p,18,4,1,22,4,7,20,7,8,17,8,13,51,11,19,0,15,43,8,19,9,35,9,24,9,4,44,1,59,17,16,19,4,15,9,13,3,9,18,13,8,6,11,15,12,10,22,18,3
hsa-miR-1287-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-449a,1,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,1,0,0,1,0,0,0,1,0,0,3,2,3,1,1,1,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4695-5p,0,0,1,0,2,6,1,0,0,1,2,0,1,0,2,0,1,0,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,4,1,3,1,4,0,1,1,2,0,1,2
hsa-miR-4695-3p,3,5,3,4,0,4,1,4,6,0,2,1,3,3,2,0,0,2,3,0,1,6,1,7,4,3,5,0,3,0,3,4,2,0,0,1,0,2,1,5,4,4,1,1,3,2,3,6,2
hsa-miR-6721-5p,57,32,41,36,48,66,89,50,62,39,37,45,43,8,37,0,12,24,5,31,4,52,6,25,52,7,41,3,42,13,40,42,14,20,7,4,5,37,51,103,59,121,64,75,46,60,56,53,79
hsa-miR-6715a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6733-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
hsa-miR-6733-3p,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ah-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ah-3p,17,4,16,23,5,12,28,24,11,12,24,4,57,6,42,0,10,37,6,61,5,61,5,81,13,5,78,3,71,1,64,7,4,37,3,4,3,7,23,24,7,23,17,14,17,13,13,17,6
hsa-miR-4644,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,2,1,0,1,0,0
hsa-miR-5584-5p,2,0,1,3,2,5,2,2,0,1,1,0,3,1,4,0,0,2,1,3,1,4,0,2,1,0,1,0,2,2,5,2,1,2,1,1,1,1,1,0,1,2,2,3,1,0,0,0,3
hsa-miR-5584-3p,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
hsa-miR-4757-5p,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,1,2,0
hsa-miR-4757-3p,0,1,2,4,2,4,0,0,0,0,1,1,3,0,0,0,3,0,2,1,0,3,1,2,0,1,3,0,4,2,7,0,0,3,0,0,0,1,0,0,2,1,0,5,3,0,0,3,0
hsa-miR-6802-5p,3,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,3,0
hsa-miR-6802-3p,76,11,41,44,7,50,69,24,50,25,43,28,101,7,40,0,15,39,11,35,4,37,12,109,39,14,86,13,67,9,63,14,8,39,10,13,15,46,54,75,39,79,67,58,34,61,38,23,50
hsa-miR-378b,2,2,0,5,0,2,1,0,0,4,0,1,5,1,5,0,1,4,1,4,2,2,2,3,0,0,3,0,5,0,6,0,0,2,0,0,1,3,0,1,0,1,1,0,3,2,1,1,1
hsa-miR-5703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-520d-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520d-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-340-5p,12,2,8,20,2,10,10,5,4,17,2,4,71,24,93,0,23,89,40,91,33,102,55,31,15,48,159,26,120,29,71,11,29,59,43,42,19,8,16,9,11,30,4,5,9,12,12,17,6
hsa-miR-340-3p,144,75,126,185,97,120,135,159,48,93,141,156,323,27,405,0,35,374,40,255,27,224,64,300,121,39,413,22,281,43,329,70,49,279,61,39,77,120,122,146,155,163,179,91,144,117,68,123,81
hsa-miR-4478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-204-5p,3,1,2,1,0,0,5,4,0,2,1,5,0,2,7,0,1,13,11,1,3,1,6,10,2,7,16,1,6,0,5,1,0,2,2,4,2,2,0,4,2,2,3,1,7,1,0,1,3
hsa-miR-204-3p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1
hsa-miR-936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3653-3p,0,0,0,3,2,1,1,1,1,1,3,0,0,4,1,0,6,1,1,0,1,1,3,0,2,8,1,6,4,6,1,0,11,1,8,12,8,0,0,1,0,6,1,2,2,0,2,3,0
hsa-miR-3653-5p,2,13,1,25,0,20,0,2,6,7,2,0,7,2,12,0,5,20,2,16,1,14,6,12,0,4,17,3,9,7,11,9,6,14,3,2,1,8,0,16,0,22,4,1,7,10,12,7,2
hsa-miR-378g,21,5,18,12,4,18,15,11,10,12,15,14,45,8,29,0,9,33,2,31,1,32,7,56,4,4,42,3,49,4,49,6,4,32,4,6,5,10,12,15,19,23,7,15,14,17,12,23,16
hsa-miR-3690,6,7,7,3,0,2,4,6,0,3,8,4,9,3,7,0,1,4,0,4,0,4,0,14,8,0,2,0,25,0,3,6,2,6,2,1,0,2,5,2,12,1,3,5,2,12,0,5,2
hsa-miR-3162-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3162-3p,0,5,3,2,0,2,4,5,2,1,1,2,4,1,1,0,1,0,1,1,0,1,3,0,1,1,2,0,0,1,3,0,2,0,1,2,1,2,1,6,5,5,4,2,1,2,6,2,1
hsa-miR-4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3689f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-130a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-130a-3p,129,20,60,126,5,75,46,27,89,99,27,14,1141,47,621,0,108,280,81,546,43,420,70,220,57,55,681,37,512,101,558,60,46,345,41,48,81,57,56,78,37,115,46,26,75,59,73,63,20
hsa-miR-7850-5p,5,3,2,5,3,0,0,2,3,1,2,0,5,1,4,0,1,2,1,7,0,1,1,4,3,2,4,0,6,0,3,1,3,0,2,0,0,3,3,9,3,1,2,6,2,2,3,0,5
hsa-miR-606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-152-3p,109,14,19,109,6,37,75,51,42,63,48,31,348,35,156,0,30,272,16,218,14,187,19,187,50,15,511,25,405,36,228,40,35,214,50,30,32,45,61,46,35,82,65,38,63,37,69,89,48
hsa-miR-152-5p,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,1,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-627-5p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-627-3p,3,0,5,4,0,0,7,7,1,1,0,1,55,4,40,0,5,36,3,22,4,41,1,74,0,3,44,1,41,0,35,2,0,27,1,1,5,4,0,4,3,10,1,1,3,1,1,10,2
hsa-miR-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0
hsa-miR-659-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hsa-miR-659-5p,24,5,25,9,14,8,17,21,7,9,10,21,57,3,27,0,2,48,0,23,0,35,3,43,11,1,51,0,56,2,30,8,0,30,3,2,4,3,17,5,9,6,26,7,9,11,6,4,13
hsa-miR-1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-544b,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,1
hsa-miR-548n,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,3,1,0,0,0,4,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4663,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
hsa-miR-4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-190b,54,31,29,118,10,40,34,27,51,39,31,15,83,36,50,0,53,96,38,94,19,170,63,49,35,32,149,13,204,34,83,45,28,47,26,43,27,108,62,54,43,90,48,27,75,55,43,53,26
hsa-miR-3913-5p,81,19,60,32,16,26,43,52,25,20,54,37,308,9,171,0,6,117,2,131,5,148,5,90,57,5,219,9,206,9,115,17,5,138,12,4,10,20,58,22,49,36,36,31,19,27,26,21,53
hsa-miR-3913-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6813-5p,6,3,3,2,0,0,2,3,4,1,2,0,5,0,2,0,0,5,1,3,1,4,1,1,1,1,2,0,6,0,1,2,0,2,0,0,1,5,1,4,1,4,2,4,6,3,7,3,6
hsa-miR-6813-3p,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,2,1,0,0
hsa-miR-1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4657,3,1,2,3,8,8,11,2,4,0,7,3,12,2,3,0,2,12,4,6,2,11,0,13,10,1,5,1,12,1,13,0,2,8,3,0,5,6,8,6,4,7,8,8,5,3,8,6,3
hsa-miR-2115-5p,1,1,2,1,2,2,1,3,3,1,2,1,12,0,7,0,0,8,1,5,0,2,0,4,2,2,12,0,5,0,4,4,0,7,1,0,0,5,1,5,4,1,4,4,3,2,5,1,1
hsa-miR-2115-3p,5,2,2,3,0,2,4,2,0,4,1,1,7,1,6,0,1,5,1,9,0,11,2,2,8,2,12,0,6,3,9,2,0,4,0,1,4,2,3,3,3,3,1,0,3,3,0,2,1
hsa-miR-6083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-624-5p,24,5,11,32,2,15,10,11,19,41,4,6,128,23,75,0,35,104,19,101,18,104,24,135,12,17,145,16,133,29,100,23,22,82,10,35,15,15,20,35,13,31,5,21,15,10,18,22,12
hsa-miR-624-3p,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-181c-5p,3,1,1,1,0,0,0,1,1,4,0,0,4,2,4,0,3,2,3,4,0,3,6,4,0,4,5,1,8,5,5,2,4,3,2,0,1,2,0,0,1,2,0,0,2,2,2,3,2
hsa-miR-181c-3p,0,0,1,1,0,0,2,0,0,0,1,0,4,2,0,0,2,2,0,0,0,2,4,4,0,0,1,3,2,0,3,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
hsa-miR-1246,10,2,7,4,3,4,5,1,2,5,7,9,13,12,11,0,3,18,1,14,4,7,1,9,5,1,23,0,17,0,17,6,2,5,4,4,2,3,13,3,5,3,13,3,8,2,6,9,5
hsa-miR-5583-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5583-3p,0,0,0,1,0,0,1,0,0,0,0,1,3,0,2,0,0,3,0,1,0,1,0,4,0,1,7,0,4,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-526b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-526b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3156-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4445-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4445-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548f-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1295a,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
